doc_id,language,resource_level,model_pair,labse_published,labse_pooled,labse_aligned
cancer/after-a-breast-cancer-diagnosis,arabic,medium,claude-opus-4.5 vs gpt-5.1,0.9803251028060913,0.9767193794250488,0.798265160785781
cancer/after-a-breast-cancer-diagnosis,arabic,medium,gemini-3-pro vs gpt-5.1,0.9797945618629456,0.9910759925842285,0.9199275275071462
cancer/after-a-breast-cancer-diagnosis,arabic,medium,gpt-5.1 vs kimi-k2,0.981263279914856,0.9901837110519409,0.8994240661462148
cancer/after-a-breast-cancer-diagnosis,arabic,medium,claude-opus-4.5 vs gemini-3-pro,0.9886592030525208,0.9863806962966919,0.8924738839268684
cancer/after-a-breast-cancer-diagnosis,arabic,medium,claude-opus-4.5 vs kimi-k2,0.9839248657226562,0.984224259853363,0.9114073067903519
cancer/after-a-breast-cancer-diagnosis,arabic,medium,gemini-3-pro vs kimi-k2,0.9731177687644958,0.9966080188751221,0.9646118953824043
cancer/after-a-breast-cancer-diagnosis,chinese_simplified,high,claude-opus-4.5 vs gpt-5.1,0.9692396521568298,0.9692397117614746,0.9692397117614746
cancer/after-a-breast-cancer-diagnosis,chinese_simplified,high,gemini-3-pro vs gpt-5.1,0.9649567604064941,0.9649567008018494,0.9649567008018494
cancer/after-a-breast-cancer-diagnosis,chinese_simplified,high,gpt-5.1 vs kimi-k2,0.9669333100318909,0.9669333100318909,0.9669333100318909
cancer/after-a-breast-cancer-diagnosis,chinese_simplified,high,claude-opus-4.5 vs gemini-3-pro,0.983487606048584,0.9834874868392944,0.9834874868392944
cancer/after-a-breast-cancer-diagnosis,chinese_simplified,high,claude-opus-4.5 vs kimi-k2,0.9879786968231201,0.9879786372184753,0.9879786372184753
cancer/after-a-breast-cancer-diagnosis,chinese_simplified,high,gemini-3-pro vs kimi-k2,0.9947114586830139,0.9947113990783691,0.9947113990783691
cancer/after-a-breast-cancer-diagnosis,haitian_creole,low,claude-opus-4.5 vs gpt-5.1,0.9729048013687134,0.9885797500610352,0.8241376578807831
cancer/after-a-breast-cancer-diagnosis,haitian_creole,low,gemini-3-pro vs gpt-5.1,0.9722434878349304,0.993208646774292,0.9032253146171569
cancer/after-a-breast-cancer-diagnosis,haitian_creole,low,gpt-5.1 vs kimi-k2,0.9518531560897827,0.976129949092865,0.8640037775039673
cancer/after-a-breast-cancer-diagnosis,haitian_creole,low,claude-opus-4.5 vs gemini-3-pro,0.9890198111534119,0.9930214881896973,0.9094451904296875
cancer/after-a-breast-cancer-diagnosis,haitian_creole,low,claude-opus-4.5 vs kimi-k2,0.9578061699867249,0.9738112092018127,0.9043684959411621
cancer/after-a-breast-cancer-diagnosis,haitian_creole,low,gemini-3-pro vs kimi-k2,0.9522218108177185,0.979144275188446,0.9472611129283905
cancer/after-a-breast-cancer-diagnosis,korean,medium,claude-opus-4.5 vs gpt-5.1,0.9838324785232544,0.9910914301872253,0.9334339499473572
cancer/after-a-breast-cancer-diagnosis,korean,medium,gemini-3-pro vs gpt-5.1,0.9784110188484192,0.9938516020774841,0.9745573231152126
cancer/after-a-breast-cancer-diagnosis,korean,medium,gpt-5.1 vs kimi-k2,0.9746307134628296,0.9910072088241577,0.9458504404340472
cancer/after-a-breast-cancer-diagnosis,korean,medium,claude-opus-4.5 vs gemini-3-pro,0.9824747443199158,0.9911525249481201,0.9437494618552071
